Term	g	Prefix	Level (cm-1)	Suffix
"*"	3	""	"532820"	""	
"*"	3	""	"533600"	""	
"*"	3	""	"537780"	""	
"Limit"		""	"539160"	""	
"Limit"		""	"539930"	""	
"*"	3	""	"544870"	""	
"*"	3	""	"546060"	""	
"*"	3	""	"546360"	""	
"*"	3	""	"547350"	""	
"*"	3	""	"549270"	""	
"*"	3	""	"552490"	""	
"*"	3	""	"553710"	""	
"Limit"		""	"554430"	""	
"Limit"		""	"555470"	""	
